Profile,Lat,Long,Depth,Symbol,SiBCS,Soil taxonomy,Soil order,PM,Lab_SOM,LAB_L_dry,LAB_A_dry,LAB_B_dry,LAB_L_moist,LAB_A_moist,LAB_B_moist,pXRF_Ag,pXRF_Al2O3,pXRF_As,pXRF_Bi,pXRF_CaO,pXRF_Ce,pXRF_Cl,pXRF_Cr,pXRF_Cu,pXRF_Fe,pXRF_K2O,pXRF_Mn,pXRF_Mo,pXRF_Nb,pXRF_Ni,pXRF_P2O5,pXRF_Pb,pXRF_Rb,pXRF_SiO2,pXRF_Sr,pXRF_Ta,pXRF_Ti,pXRF_Tl,pXRF_V,pXRF_Y,pXRF_Zn,pXRF_Zr
48,7651600.4617,502743.418054,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.2900232018561485,55.61,17.54,29.63,39.23,19.16,25.75,14,206823,1,7,628,852,769,166,12,46273,2079,66,0,3,11,0,0,2,217954,0,22,5218,35,0,0,18,200
48,7651600.4617,502743.418054,20-60,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.580046403712297,57.01,14.78,27.63,37.43,16.3,23.43,7,194072,1,0,766,768,753,198,16,42530,2101,76,0,0,13,0,0,2,242720,0,21,5017,17,0,0,19,189
48,7651600.4617,502743.418054,20-60,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.6960556844547564,53.73,10.84,22.67,37.05,10.55,17.53,0,206941,0,0,1400,776,663,149,16,38180,2487,82,0,0,16,215,0,2,315518,6,14,4558,0,0,0,19,186
48,7651600.4617,502743.418054,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,1.4501160092807426,57.44,15.9,28.63,37,17.36,24.51,9,246657,1,0,728,1284,330,197,17,48192,2400,28,3,0,12,265,0,0,267780,0,13,5410,17,20,0,18,212
52,7651669.4617,502803.418059,60-100,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.1740139211136891,54.11,14.55,25.7,35.49,16.4,23.74,0,213126,2,0,191,841,765,268,13,44687,2002,24,0,0,12,675,7,7,238985,2,21,5481,39,0,0,24,184
52,7651669.4617,502803.418059,20-60,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.2900232018561485,53.7,14.81,26.5,35.23,16.29,22.56,0,220201,1,0,311,859,812,255,13,44352,2044,34,4,0,19,508,0,2,241638,0,18,5379,37,0,0,23,188
52,7651669.4617,502803.418059,20-60,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,0.40603248259860786,56.84,14.22,26.43,39.72,17.65,24.83,0,207649,0,0,442,762,529,175,15,44084,1875,53,4,0,16,0,0,0,229973,2,18,5473,0,0,0,23,186
29,7651872,502160,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,1.0440835266821347,45.74,18.86,26.52,31.84,17.38,19.36,0,218162,4,0,484,1580,496,162,22,58048,2773,164,0,0,17,243,8,2,272519,0,16,6621,0,0,0,21,192
40,7651886,502505,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gabbro,0.8120649651972157,38,17.96,22.91,34.48,19.17,22.27,0,170995,2,0,304,1485,476,102,34,71383,1785,700,4,6,25,0,0,2,278270,0,12,12601,16,82,7,36,264
46,7651373,502699,0-20,LVA,Latossolo Vermelho-Amarelo,Typic Hapludoxs,Oxisols,Gneiss,2.494199535962877,62.81,13.11,31.19,37.19,12.59,25.43,6,192421,0,0,3114,671,981,80,18,45233,3163,314,0,4,17,726,0,7,318203,11,10,7248,0,0,0,33,226
